,req_id,run,redundancy,comprehensiveness
8,CrisisFACTS-003-r5,baseline.v1,0.525,0.17647058823529413
21,CrisisFACTS-003-r6,baseline.v1,0.5263157894736842,0.20634920634920634
38,CrisisFACTS-003-r7,baseline.v1,0.85,0.19540229885057472
41,CrisisFACTS-003-r8,baseline.v1,0.7105263157894737,0.15730337078651685
62,CrisisFACTS-003-r9,baseline.v1,0.5263157894736842,0.14285714285714285
71,CrisisFACTS-003-r10,baseline.v1,0.7,0.20588235294117646
87,CrisisFACTS-003-r11,baseline.v1,0.025,0.5
101,CrisisFACTS-004-r8,baseline.v1,0.075,0.044444444444444446
112,CrisisFACTS-004-r9,baseline.v1,0.725,0.2711864406779661
126,CrisisFACTS-004-r10,baseline.v1,0.2,0.09523809523809523
132,CrisisFACTS-004-r11,baseline.v1,0.34210526315789475,0.08333333333333333
152,CrisisFACTS-004-r12,baseline.v1,0.18421052631578946,0.07272727272727272
162,CrisisFACTS-004-r13,baseline.v1,0.4,0.07476635514018691
177,CrisisFACTS-004-r14,baseline.v1,0.35,0.1044776119402985
192,CrisisFACTS-004-r15,baseline.v1,0.4,0.10666666666666667
202,CrisisFACTS-004-r16,baseline.v1,0.15,0.04411764705882353
218,CrisisFACTS-004-r17,baseline.v1,0.15,0.04838709677419355
229,CrisisFACTS-004-r18,baseline.v1,0.5,0.10810810810810811
237,CrisisFACTS-004-r19,baseline.v1,0.1,0.06
253,CrisisFACTS-004-r20,baseline.v1,0.05,0.022727272727272728
269,CrisisFACTS-004-r21,baseline.v1,0.2631578947368421,0.1111111111111111
278,CrisisFACTS-004-r22,baseline.v1,0.25,0.22727272727272727
293,CrisisFACTS-006-r4,baseline.v1,0.425,0.14285714285714285
307,CrisisFACTS-006-r5,baseline.v1,0.23529411764705882,0.06153846153846154
319,CrisisFACTS-006-r6,baseline.v1,0.25,0.041666666666666664
333,CrisisFACTS-006-r7,baseline.v1,0.34210526315789475,0.1320754716981132
346,CrisisFACTS-007-r13,baseline.v1,0.5833333333333334,0.10091743119266056
355,CrisisFACTS-007-r14,baseline.v1,0.75,0.12
365,CrisisFACTS-013-r0,baseline.v1,0.7647058823529411,0.11016949152542373
390,CrisisFACTS-013-r1,baseline.v1,0.5,0.1
409,CrisisFACTS-013-r2,baseline.v1,0.39473684210526316,0.11458333333333333
419,CrisisFACTS-013-r3,baseline.v1,0.3684210526315789,0.08571428571428572
444,CrisisFACTS-013-r4,baseline.v1,0.4117647058823529,0.10588235294117647
458,CrisisFACTS-013-r5,baseline.v1,0.0,0.0
468,CrisisFACTS-014-r0,baseline.v1,0.1,0.014814814814814815
498,CrisisFACTS-014-r1,baseline.v1,0.25,0.031746031746031744
516,CrisisFACTS-014-r2,baseline.v1,0.23529411764705882,0.04081632653061224
533,CrisisFACTS-014-r3,baseline.v1,0.6,0.09243697478991597
553,CrisisFACTS-014-r4,baseline.v1,0.0,0.0
570,CrisisFACTS-014-r5,baseline.v1,0.20588235294117646,0.0380952380952381
589,CrisisFACTS-014-r6,baseline.v1,0.2727272727272727,0.030927835051546393
601,CrisisFACTS-001-r3,baseline.v1,0.36666666666666664,0.11904761904761904
614,CrisisFACTS-001-r4,baseline.v1,0.2647058823529412,0.09375
627,CrisisFACTS-001-r5,baseline.v1,0.11764705882352941,0.05
640,CrisisFACTS-001-r6,baseline.v1,0.15789473684210525,0.06666666666666667
651,CrisisFACTS-001-r7,baseline.v1,0.11764705882352941,0.041666666666666664
666,CrisisFACTS-001-r8,baseline.v1,0.15384615384615385,0.04878048780487805
680,CrisisFACTS-001-r9,baseline.v1,0.2,0.09615384615384616
692,CrisisFACTS-001-r10,baseline.v1,0.0,0.0
705,CrisisFACTS-001-r11,baseline.v1,0.0,0.0
711,CrisisFACTS-011-r0,baseline.v1,0.1388888888888889,0.125
730,CrisisFACTS-011-r1,baseline.v1,0.25,0.22580645161290322
756,CrisisFACTS-011-r2,baseline.v1,0.32142857142857145,0.1
773,CrisisFACTS-011-r3,baseline.v1,0.0,0.0
791,CrisisFACTS-012-r0,baseline.v1,0.0,0.0
811,CrisisFACTS-012-r1,baseline.v1,0.3157894736842105,0.04316546762589928
829,CrisisFACTS-012-r2,baseline.v1,0.21875,0.0392156862745098
842,CrisisFACTS-012-r3,baseline.v1,0.25,0.06944444444444445
857,CrisisFACTS-012-r4,baseline.v1,0.2,0.07407407407407407
873,CrisisFACTS-016-r0,baseline.v1,0.0,0.0
900,CrisisFACTS-016-r1,baseline.v1,0.3157894736842105,0.07216494845360824
916,CrisisFACTS-016-r2,baseline.v1,0.21052631578947367,0.05952380952380952
931,CrisisFACTS-016-r3,baseline.v1,0.47058823529411764,0.16071428571428573
950,CrisisFACTS-017-r0,baseline.v1,0.425,0.12
972,CrisisFACTS-017-r1,baseline.v1,0.42105263157894735,0.058823529411764705
986,CrisisFACTS-017-r2,baseline.v1,0.18421052631578946,0.026143790849673203
995,CrisisFACTS-017-r3,baseline.v1,0.23333333333333334,0.058823529411764705
1023,CrisisFACTS-017-r4,baseline.v1,0.06666666666666667,0.023255813953488372
1029,CrisisFACTS-017-r5,baseline.v1,0.3684210526315789,0.21621621621621623
1048,CrisisFACTS-018-r0,baseline.v1,0.4,0.08641975308641975
1076,CrisisFACTS-018-r1,baseline.v1,0.8888888888888888,0.085
1096,CrisisFACTS-018-r2,baseline.v1,0.65,0.08695652173913043
1100,CrisisFACTS-018-r3,baseline.v1,0.425,0.08823529411764706
1121,CrisisFACTS-018-r4,baseline.v1,0.3,0.075
1142,CrisisFACTS-002-r2,baseline.v1,0.25,0.08333333333333333
1155,CrisisFACTS-002-r1,baseline.v1,0.625,0.14285714285714285
1167,CrisisFACTS-002-r3,baseline.v1,0.225,0.12244897959183673
1180,CrisisFACTS-002-r4,baseline.v1,0.3333333333333333,0.23076923076923078
1194,CrisisFACTS-002-r5,baseline.v1,0.1875,0.061224489795918366
1201,CrisisFACTS-002-r6,baseline.v1,0.3157894736842105,0.3333333333333333
1215,CrisisFACTS-008-r3,baseline.v1,0.2894736842105263,0.08571428571428572
1231,CrisisFACTS-008-r4,baseline.v1,0.325,0.08641975308641975
1240,CrisisFACTS-008-r5,baseline.v1,0.65,0.13333333333333333
1258,CrisisFACTS-008-r6,baseline.v1,0.6666666666666666,0.112
1270,CrisisFACTS-008-r7,baseline.v1,0.55,0.1
1284,CrisisFACTS-008-r9,baseline.v1,0.7105263157894737,0.12962962962962962
1296,CrisisFACTS-008-r8,baseline.v1,0.725,0.11627906976744186
