,req_id,run,redundancy,comprehensiveness
10,CrisisFACTS-003-r5,Thesis_Retriver,0.5526315789473685,0.16176470588235295
22,CrisisFACTS-003-r6,Thesis_Retriver,0.525,0.1746031746031746
32,CrisisFACTS-003-r7,Thesis_Retriver,0.75,0.1724137931034483
43,CrisisFACTS-003-r8,Thesis_Retriver,0.575,0.1348314606741573
60,CrisisFACTS-003-r9,Thesis_Retriver,0.475,0.14285714285714285
73,CrisisFACTS-003-r10,Thesis_Retriver,0.575,0.19117647058823528
96,CrisisFACTS-003-r11,Thesis_Retriver,0.0,0.0
107,CrisisFACTS-004-r8,Thesis_Retriver,0.0,0.0
123,CrisisFACTS-004-r9,Thesis_Retriver,0.75,0.03389830508474576
136,CrisisFACTS-004-r10,Thesis_Retriver,0.25,0.07142857142857142
139,CrisisFACTS-004-r11,Thesis_Retriver,0.275,0.07142857142857142
162,CrisisFACTS-004-r12,Thesis_Retriver,0.275,0.10909090909090909
171,CrisisFACTS-004-r13,Thesis_Retriver,0.5,0.09345794392523364
188,CrisisFACTS-004-r14,Thesis_Retriver,0.3,0.08955223880597014
201,CrisisFACTS-004-r15,Thesis_Retriver,0.45,0.12
213,CrisisFACTS-004-r16,Thesis_Retriver,0.25,0.07352941176470588
226,CrisisFACTS-004-r17,Thesis_Retriver,0.35,0.11290322580645161
244,CrisisFACTS-004-r18,Thesis_Retriver,0.45,0.12162162162162163
255,CrisisFACTS-004-r19,Thesis_Retriver,0.2,0.1
272,CrisisFACTS-004-r20,Thesis_Retriver,0.1,0.045454545454545456
286,CrisisFACTS-004-r21,Thesis_Retriver,0.3,0.13333333333333333
302,CrisisFACTS-004-r22,Thesis_Retriver,0.25,0.22727272727272727
323,CrisisFACTS-006-r5,Thesis_Retriver,0.25,0.07692307692307693
336,CrisisFACTS-006-r6,Thesis_Retriver,0.15,0.0625
352,CrisisFACTS-006-r7,Thesis_Retriver,0.275,0.11320754716981132
368,CrisisFACTS-007-r13,Thesis_Retriver,0.5,0.09174311926605505
384,CrisisFACTS-007-r14,Thesis_Retriver,0.825,0.136
394,CrisisFACTS-013-r0,Thesis_Retriver,0.55,0.09322033898305085
421,CrisisFACTS-013-r1,Thesis_Retriver,0.55,0.13
441,CrisisFACTS-013-r2,Thesis_Retriver,0.3,0.08333333333333333
455,CrisisFACTS-013-r3,Thesis_Retriver,0.4,0.08571428571428572
475,CrisisFACTS-013-r4,Thesis_Retriver,0.35,0.10588235294117647
498,CrisisFACTS-014-r0,Thesis_Retriver,0.225,0.037037037037037035
522,CrisisFACTS-014-r1,Thesis_Retriver,0.1,0.023809523809523808
552,CrisisFACTS-014-r2,Thesis_Retriver,0.3,0.061224489795918366
563,CrisisFACTS-014-r3,Thesis_Retriver,0.5,0.09243697478991597
584,CrisisFACTS-014-r4,Thesis_Retriver,0.025,0.012345679012345678
599,CrisisFACTS-014-r5,Thesis_Retriver,0.25,0.047619047619047616
622,CrisisFACTS-014-r6,Thesis_Retriver,0.3,0.061855670103092786
638,CrisisFACTS-001-r3,Thesis_Retriver,0.375,0.15476190476190477
653,CrisisFACTS-001-r4,Thesis_Retriver,0.3,0.109375
671,CrisisFACTS-001-r5,Thesis_Retriver,0.2,0.1
681,CrisisFACTS-001-r6,Thesis_Retriver,0.25,0.1111111111111111
694,CrisisFACTS-001-r7,Thesis_Retriver,0.15,0.0625
703,CrisisFACTS-001-r8,Thesis_Retriver,0.25,0.14634146341463414
720,CrisisFACTS-001-r9,Thesis_Retriver,0.2631578947368421,0.1346153846153846
741,CrisisFACTS-001-r10,Thesis_Retriver,0.0,0.0
748,CrisisFACTS-001-r11,Thesis_Retriver,0.03125,0.2
761,CrisisFACTS-011-r0,Thesis_Retriver,0.07142857142857142,0.041666666666666664
781,CrisisFACTS-011-r1,Thesis_Retriver,0.2,0.1935483870967742
803,CrisisFACTS-011-r2,Thesis_Retriver,0.125,0.06
822,CrisisFACTS-011-r3,Thesis_Retriver,0.1,0.1111111111111111
842,CrisisFACTS-012-r0,Thesis_Retriver,0.0,0.0
857,CrisisFACTS-012-r1,Thesis_Retriver,0.45,0.06474820143884892
874,CrisisFACTS-012-r2,Thesis_Retriver,0.3,0.06862745098039216
899,CrisisFACTS-012-r3,Thesis_Retriver,0.275,0.08333333333333333
916,CrisisFACTS-012-r4,Thesis_Retriver,0.2727272727272727,0.05555555555555555
928,CrisisFACTS-016-r0,Thesis_Retriver,0.175,0.056818181818181816
949,CrisisFACTS-016-r1,Thesis_Retriver,0.4,0.08247422680412371
965,CrisisFACTS-016-r2,Thesis_Retriver,0.7,0.047619047619047616
991,CrisisFACTS-016-r3,Thesis_Retriver,0.3,0.125
1008,CrisisFACTS-017-r0,Thesis_Retriver,0.125,0.04
1027,CrisisFACTS-017-r1,Thesis_Retriver,0.35,0.058823529411764705
1047,CrisisFACTS-017-r2,Thesis_Retriver,0.375,0.05228758169934641
1060,CrisisFACTS-017-r3,Thesis_Retriver,0.225,0.07352941176470588
1083,CrisisFACTS-017-r4,Thesis_Retriver,0.1,0.06976744186046512
1098,CrisisFACTS-017-r5,Thesis_Retriver,0.425,0.2702702702702703
1116,CrisisFACTS-018-r0,Thesis_Retriver,0.5294117647058824,0.12345679012345678
1136,CrisisFACTS-018-r1,Thesis_Retriver,0.7,0.075
1150,CrisisFACTS-018-r2,Thesis_Retriver,0.575,0.07453416149068323
1169,CrisisFACTS-018-r3,Thesis_Retriver,0.3,0.06862745098039216
1207,CrisisFACTS-002-r2,Thesis_Retriver,0.2,0.05555555555555555
1218,CrisisFACTS-002-r1,Thesis_Retriver,0.6,0.15384615384615385
1241,CrisisFACTS-002-r3,Thesis_Retriver,0.2,0.10204081632653061
1250,CrisisFACTS-002-r4,Thesis_Retriver,0.3,0.23076923076923078
1261,CrisisFACTS-002-r5,Thesis_Retriver,0.225,0.10204081632653061
1282,CrisisFACTS-002-r6,Thesis_Retriver,0.6666666666666666,0.23809523809523808
1292,CrisisFACTS-008-r3,Thesis_Retriver,0.25,0.05714285714285714
1312,CrisisFACTS-008-r4,Thesis_Retriver,0.3,0.08641975308641975
1314,CrisisFACTS-008-r5,Thesis_Retriver,0.5,0.047619047619047616
1332,CrisisFACTS-008-r6,Thesis_Retriver,0.55,0.104
1347,CrisisFACTS-008-r7,Thesis_Retriver,0.55,0.1
1362,CrisisFACTS-008-r9,Thesis_Retriver,0.5,0.09259259259259259
1370,CrisisFACTS-008-r8,Thesis_Retriver,0.675,0.10852713178294573
1389,CrisisFACTS-008-r10,Thesis_Retriver,0.7,0.1414141414141414
1402,CrisisFACTS-005-r3,Thesis_Retriver,0.625,0.18
1414,CrisisFACTS-005-r4,Thesis_Retriver,0.575,0.15
1429,CrisisFACTS-005-r5,Thesis_Retriver,0.4,0.14285714285714285
1445,CrisisFACTS-005-r6,Thesis_Retriver,0.125,0.1875
1461,CrisisFACTS-010-r0,Thesis_Retriver,0.0,0.0
1475,CrisisFACTS-010-r1,Thesis_Retriver,0.35,0.07142857142857142
1502,CrisisFACTS-010-r2,Thesis_Retriver,0.1,0.0410958904109589
1513,CrisisFACTS-010-r3,Thesis_Retriver,0.125,0.1
1533,CrisisFACTS-010-r4,Thesis_Retriver,0.2,0.11320754716981132
1550,CrisisFACTS-010-r5,Thesis_Retriver,0.0,0.0
1574,CrisisFACTS-011-r4,Thesis_Retriver,0.0,0.0
1593,CrisisFACTS-015-r0,Thesis_Retriver,0.275,0.07142857142857142
1607,CrisisFACTS-015-r1,Thesis_Retriver,0.3,0.05042016806722689
1629,CrisisFACTS-015-r2,Thesis_Retriver,0.45,0.09243697478991597
1648,CrisisFACTS-015-r3,Thesis_Retriver,0.1,0.03125
1670,CrisisFACTS-015-r4,Thesis_Retriver,0.125,0.061224489795918366
1686,CrisisFACTS-015-r5,Thesis_Retriver,0.125,0.08108108108108109
1707,CrisisFACTS-015-r6,Thesis_Retriver,0.1,0.10526315789473684
1741,CrisisFACTS-009-r1,Thesis_Retriver,0.425,0.08441558441558442
1760,CrisisFACTS-009-r2,Thesis_Retriver,0.15,0.04938271604938271
1772,CrisisFACTS-009-r3,Thesis_Retriver,0.1,0.03636363636363636
1798,CrisisFACTS-009-r4,Thesis_Retriver,0.2,0.08333333333333333
1814,CrisisFACTS-009-r5,Thesis_Retriver,0.05,0.019230769230769232
1841,CrisisFACTS-009-r6,Thesis_Retriver,0.0,0.0
1864,CrisisFACTS-009-r0,Thesis_Retriver,0.0,0.0
