,req_id,run,redundancy,comprehensiveness
0,CrisisFACTS-003-r5,llama,0.45,0.14705882352941177
19,CrisisFACTS-003-r6,llama,0.35,0.1111111111111111
34,CrisisFACTS-003-r7,llama,0.3157894736842105,0.06896551724137931
45,CrisisFACTS-003-r8,llama,0.35,0.0898876404494382
56,CrisisFACTS-003-r9,llama,0.5,0.14285714285714285
70,CrisisFACTS-003-r10,llama,0.6666666666666666,0.11764705882352941
91,CrisisFACTS-004-r8,llama,0.631578947368421,0.26666666666666666
108,CrisisFACTS-004-r9,llama,1.0,0.01694915254237288
121,CrisisFACTS-004-r10,llama,0.5833333333333334,0.16666666666666666
140,CrisisFACTS-004-r11,llama,0.7777777777777778,0.16666666666666666
148,CrisisFACTS-004-r12,llama,0.6,0.21818181818181817
156,CrisisFACTS-004-r13,llama,0.8157894736842105,0.14953271028037382
171,CrisisFACTS-004-r14,llama,0.45,0.13432835820895522
183,CrisisFACTS-004-r15,llama,0.631578947368421,0.16
194,CrisisFACTS-004-r16,llama,0.85,0.25
213,CrisisFACTS-004-r17,llama,0.25,0.08064516129032258
225,CrisisFACTS-004-r18,llama,0.525,0.14864864864864866
241,CrisisFACTS-004-r19,llama,0.45,0.18
250,CrisisFACTS-004-r20,llama,0.625,0.29545454545454547
271,CrisisFACTS-004-r21,llama,0.25,0.1111111111111111
284,CrisisFACTS-006-r4,llama,0.5,0.15873015873015872
300,CrisisFACTS-006-r5,llama,0.425,0.13846153846153847
316,CrisisFACTS-006-r6,llama,0.3,0.125
324,CrisisFACTS-006-r7,llama,0.4,0.16981132075471697
339,CrisisFACTS-007-r13,llama,0.6,0.11009174311926606
353,CrisisFACTS-007-r14,llama,0.9,0.144
376,CrisisFACTS-013-r0,llama,0.5,0.09322033898305085
382,CrisisFACTS-013-r1,llama,0.5526315789473685,0.12
406,CrisisFACTS-013-r2,llama,0.6,0.13541666666666666
432,CrisisFACTS-013-r3,llama,0.5263157894736842,0.10476190476190476
447,CrisisFACTS-013-r4,llama,0.5526315789473685,0.12941176470588237
476,CrisisFACTS-014-r0,llama,0.725,0.1111111111111111
489,CrisisFACTS-014-r1,llama,0.725,0.1349206349206349
508,CrisisFACTS-014-r2,llama,0.6,0.1326530612244898
523,CrisisFACTS-014-r3,llama,0.45,0.07563025210084033
543,CrisisFACTS-014-r4,llama,0.6,0.14814814814814814
564,CrisisFACTS-014-r5,llama,0.55,0.10476190476190476
581,CrisisFACTS-014-r6,llama,0.3,0.061855670103092786
594,CrisisFACTS-001-r3,llama,0.575,0.15476190476190477
609,CrisisFACTS-001-r4,llama,0.34210526315789475,0.109375
622,CrisisFACTS-001-r5,llama,0.25,0.125
635,CrisisFACTS-001-r6,llama,0.25,0.1111111111111111
648,CrisisFACTS-001-r7,llama,0.15,0.0625
657,CrisisFACTS-001-r8,llama,0.3055555555555556,0.14634146341463414
671,CrisisFACTS-001-r9,llama,0.25,0.1346153846153846
685,CrisisFACTS-001-r10,llama,0.1,0.07692307692307693
699,CrisisFACTS-001-r11,llama,0.0,0.0
720,CrisisFACTS-011-r0,llama,0.05,0.041666666666666664
738,CrisisFACTS-011-r1,llama,0.25,0.16129032258064516
750,CrisisFACTS-011-r2,llama,0.35,0.16
768,CrisisFACTS-011-r3,llama,0.0,0.0
784,CrisisFACTS-012-r0,llama,0.0,0.0
799,CrisisFACTS-012-r1,llama,0.425,0.06474820143884892
822,CrisisFACTS-012-r2,llama,0.3,0.058823529411764705
832,CrisisFACTS-012-r3,llama,0.21052631578947367,0.05555555555555555
854,CrisisFACTS-012-r4,llama,0.4,0.14814814814814814
878,CrisisFACTS-016-r0,llama,0.525,0.125
887,CrisisFACTS-016-r1,llama,0.4,0.09278350515463918
910,CrisisFACTS-016-r2,llama,0.5263157894736842,0.11904761904761904
928,CrisisFACTS-016-r3,llama,0.4473684210526316,0.16071428571428573
943,CrisisFACTS-017-r0,llama,0.35,0.09333333333333334
963,CrisisFACTS-017-r1,llama,0.35,0.051470588235294115
980,CrisisFACTS-017-r2,llama,0.425,0.06535947712418301
1004,CrisisFACTS-017-r3,llama,0.325,0.10294117647058823
1017,CrisisFACTS-017-r4,llama,0.1,0.046511627906976744
1038,CrisisFACTS-017-r5,llama,0.15,0.08108108108108109
1053,CrisisFACTS-018-r0,llama,0.325,0.08641975308641975
1064,CrisisFACTS-018-r1,llama,0.8529411764705882,0.08
1085,CrisisFACTS-018-r2,llama,0.425,0.055900621118012424
1109,CrisisFACTS-018-r3,llama,0.6052631578947368,0.12745098039215685
1128,CrisisFACTS-018-r4,llama,1.0,0.1
1135,CrisisFACTS-002-r2,llama,0.55,0.1527777777777778
1146,CrisisFACTS-002-r1,llama,0.39473684210526316,0.08791208791208792
1157,CrisisFACTS-002-r3,llama,0.475,0.20408163265306123
1171,CrisisFACTS-002-r4,llama,0.21052631578947367,0.19230769230769232
1188,CrisisFACTS-002-r5,llama,0.425,0.1836734693877551
1206,CrisisFACTS-002-r6,llama,0.5,0.047619047619047616
1210,CrisisFACTS-008-r3,llama,0.45,0.12857142857142856
1225,CrisisFACTS-008-r4,llama,0.5,0.12345679012345678
1235,CrisisFACTS-008-r5,llama,0.75,0.14285714285714285
1252,CrisisFACTS-008-r6,llama,0.7,0.112
1261,CrisisFACTS-008-r7,llama,0.7777777777777778,0.11666666666666667
1277,CrisisFACTS-008-r9,llama,0.95,0.17592592592592593
1288,CrisisFACTS-008-r8,llama,0.9473684210526315,0.13953488372093023
1308,CrisisFACTS-008-r10,llama,0.725,0.15151515151515152
1313,CrisisFACTS-005-r3,llama,0.525,0.11
1331,CrisisFACTS-005-r4,llama,0.575,0.13
1343,CrisisFACTS-005-r5,llama,0.425,0.14285714285714285
1354,CrisisFACTS-005-r6,llama,0.075,0.125
1380,CrisisFACTS-010-r0,llama,0.0,0.0
1388,CrisisFACTS-010-r1,llama,0.6111111111111112,0.07792207792207792
1408,CrisisFACTS-010-r2,llama,0.42105263157894735,0.1232876712328767
1428,CrisisFACTS-010-r3,llama,0.15,0.1
1448,CrisisFACTS-010-r4,llama,0.125,0.05660377358490566
1462,CrisisFACTS-010-r5,llama,0.0,0.0
1480,CrisisFACTS-011-r4,llama,0.02631578947368421,0.16666666666666666
1492,CrisisFACTS-015-r0,llama,0.3,0.07142857142857142
1511,CrisisFACTS-015-r1,llama,0.4722222222222222,0.08403361344537816
1531,CrisisFACTS-015-r2,llama,0.42105263157894735,0.06722689075630252
1544,CrisisFACTS-015-r3,llama,0.35,0.109375
1568,CrisisFACTS-015-r4,llama,0.3,0.12244897959183673
1585,CrisisFACTS-015-r5,llama,0.2,0.13513513513513514
