metric,value,event,target.summary,run
f1,0.6792130470275879,CrisisFACTS-010,wiki,Thesis_Retriver
precision,0.643828809261322,CrisisFACTS-010,wiki,Thesis_Retriver
recall,0.7187128067016602,CrisisFACTS-010,wiki,Thesis_Retriver
f1,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
precision,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
recall,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
f1,0.7195256352424622,CrisisFACTS-017,wiki,Thesis_Retriver
precision,0.6801567077636719,CrisisFACTS-017,wiki,Thesis_Retriver
recall,0.7637320160865784,CrisisFACTS-017,wiki,Thesis_Retriver
f1,0.7451040148735046,CrisisFACTS-018,wiki,Thesis_Retriver
precision,0.7093371152877808,CrisisFACTS-018,wiki,Thesis_Retriver
recall,0.7846693396568298,CrisisFACTS-018,wiki,Thesis_Retriver
f1,0.7465835213661194,CrisisFACTS-010,nist,Thesis_Retriver
precision,0.7209338545799255,CrisisFACTS-010,nist,Thesis_Retriver
recall,0.7741258144378662,CrisisFACTS-010,nist,Thesis_Retriver
f1,0.7689056396484375,CrisisFACTS-011,nist,Thesis_Retriver
precision,0.7877461910247803,CrisisFACTS-011,nist,Thesis_Retriver
recall,0.7509452700614929,CrisisFACTS-011,nist,Thesis_Retriver
f1,0.7999453544616699,CrisisFACTS-017,nist,Thesis_Retriver
precision,0.7821177840232849,CrisisFACTS-017,nist,Thesis_Retriver
recall,0.818604588508606,CrisisFACTS-017,nist,Thesis_Retriver
f1,0.8247323632240295,CrisisFACTS-018,nist,Thesis_Retriver
precision,0.8132930994033813,CrisisFACTS-018,nist,Thesis_Retriver
recall,0.836497962474823,CrisisFACTS-018,nist,Thesis_Retriver
