metric,value,event,target.summary,run
f1,0.7424697875976562,CrisisFACTS-010,wiki,
precision,0.7310268878936768,CrisisFACTS-010,wiki,
recall,0.754276692867279,CrisisFACTS-010,wiki,
f1,0.0,CrisisFACTS-011,wiki,
precision,0.0,CrisisFACTS-011,wiki,
recall,0.0,CrisisFACTS-011,wiki,
f1,0.0,CrisisFACTS-012,wiki,
precision,0.0,CrisisFACTS-012,wiki,
recall,0.0,CrisisFACTS-012,wiki,
f1,0.7252477407455444,CrisisFACTS-013,wiki,
precision,0.7079290151596069,CrisisFACTS-013,wiki,
recall,0.7434351444244385,CrisisFACTS-013,wiki,
f1,0.7661961317062378,CrisisFACTS-015,wiki,
precision,0.7463946342468262,CrisisFACTS-015,wiki,
recall,0.7870768308639526,CrisisFACTS-015,wiki,
f1,0.7550361752510071,CrisisFACTS-016,wiki,
precision,0.7560154795646667,CrisisFACTS-016,wiki,
recall,0.754059374332428,CrisisFACTS-016,wiki,
f1,0.7517049312591553,CrisisFACTS-017,wiki,
precision,0.7126069068908691,CrisisFACTS-017,wiki,
recall,0.7953423261642456,CrisisFACTS-017,wiki,
f1,0.7391647100448608,CrisisFACTS-018,wiki,
precision,0.703622579574585,CrisisFACTS-018,wiki,
recall,0.7784885764122009,CrisisFACTS-018,wiki,
f1,0.8052867650985718,CrisisFACTS-010,nist,
precision,0.8006007075309753,CrisisFACTS-010,nist,
recall,0.810028076171875,CrisisFACTS-010,nist,
f1,0.7731232643127441,CrisisFACTS-011,nist,
precision,0.7658663988113403,CrisisFACTS-011,nist,
recall,0.7805190086364746,CrisisFACTS-011,nist,
f1,0.8085600137710571,CrisisFACTS-012,nist,
precision,0.803749680519104,CrisisFACTS-012,nist,
recall,0.8134282827377319,CrisisFACTS-012,nist,
f1,0.7996808290481567,CrisisFACTS-013,nist,
precision,0.7993745803833008,CrisisFACTS-013,nist,
recall,0.7999874353408813,CrisisFACTS-013,nist,
f1,0.8038163185119629,CrisisFACTS-015,nist,
precision,0.8186014294624329,CrisisFACTS-015,nist,
recall,0.7895557880401611,CrisisFACTS-015,nist,
f1,0.8385006189346313,CrisisFACTS-016,nist,
precision,0.8358165621757507,CrisisFACTS-016,nist,
recall,0.8412019610404968,CrisisFACTS-016,nist,
f1,0.8342010378837585,CrisisFACTS-017,nist,
precision,0.8300163745880127,CrisisFACTS-017,nist,
recall,0.8384281396865845,CrisisFACTS-017,nist,
f1,0.8321964144706726,CrisisFACTS-018,nist,
precision,0.8301621079444885,CrisisFACTS-018,nist,
recall,0.8342407941818237,CrisisFACTS-018,nist,
