metric,value,event,target.summary,run
f1,0.016143497079610825,CrisisFACTS-010,wiki,Thesis_Retriver
precision,0.008262566290795803,CrisisFACTS-010,wiki,Thesis_Retriver
recall,0.34951457381248474,CrisisFACTS-010,wiki,Thesis_Retriver
f1,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
precision,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
recall,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
f1,0.010873863473534584,CrisisFACTS-017,wiki,Thesis_Retriver
precision,0.005498900078237057,CrisisFACTS-017,wiki,Thesis_Retriver
recall,0.48245614767074585,CrisisFACTS-017,wiki,Thesis_Retriver
f1,0.013763129711151123,CrisisFACTS-018,wiki,Thesis_Retriver
precision,0.006992149166762829,CrisisFACTS-018,wiki,Thesis_Retriver
recall,0.4351145029067993,CrisisFACTS-018,wiki,Thesis_Retriver
f1,0.2438282072544098,CrisisFACTS-010,nist,Thesis_Retriver
precision,0.165480837225914,CrisisFACTS-010,nist,Thesis_Retriver
recall,0.46307000517845154,CrisisFACTS-010,nist,Thesis_Retriver
f1,0.15519532561302185,CrisisFACTS-011,nist,Thesis_Retriver
precision,0.10522522777318954,CrisisFACTS-011,nist,Thesis_Retriver
recall,0.2955465614795685,CrisisFACTS-011,nist,Thesis_Retriver
f1,0.3989478647708893,CrisisFACTS-017,nist,Thesis_Retriver
precision,0.37152570486068726,CrisisFACTS-017,nist,Thesis_Retriver
recall,0.43074068427085876,CrisisFACTS-017,nist,Thesis_Retriver
f1,0.33409610390663147,CrisisFACTS-018,nist,Thesis_Retriver
precision,0.4208783209323883,CrisisFACTS-018,nist,Thesis_Retriver
recall,0.27698394656181335,CrisisFACTS-018,nist,Thesis_Retriver
