metric,value,event,target.summary,run
f1,0.024091381579637527,CrisisFACTS-010,wiki,Thesis_Retriver
precision,0.012584074400365353,CrisisFACTS-010,wiki,Thesis_Retriver
recall,0.28155338764190674,CrisisFACTS-010,wiki,Thesis_Retriver
f1,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
precision,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
recall,0.0,CrisisFACTS-011,wiki,Thesis_Retriver
f1,0.010293949395418167,CrisisFACTS-017,wiki,Thesis_Retriver
precision,0.005214972887188196,CrisisFACTS-017,wiki,Thesis_Retriver
recall,0.3947368562221527,CrisisFACTS-017,wiki,Thesis_Retriver
f1,0.01665785349905491,CrisisFACTS-018,wiki,Thesis_Retriver
precision,0.008475716225802898,CrisisFACTS-018,wiki,Thesis_Retriver
recall,0.48091602325439453,CrisisFACTS-018,wiki,Thesis_Retriver
f1,0.2473132163286209,CrisisFACTS-010,nist,Thesis_Retriver
precision,0.20720329880714417,CrisisFACTS-010,nist,Thesis_Retriver
recall,0.30667951703071594,CrisisFACTS-010,nist,Thesis_Retriver
f1,0.22372663021087646,CrisisFACTS-011,nist,Thesis_Retriver
precision,0.30817052721977234,CrisisFACTS-011,nist,Thesis_Retriver
recall,0.17560729384422302,CrisisFACTS-011,nist,Thesis_Retriver
f1,0.38212794065475464,CrisisFACTS-017,nist,Thesis_Retriver
precision,0.3820836842060089,CrisisFACTS-017,nist,Thesis_Retriver
recall,0.38217225670814514,CrisisFACTS-017,nist,Thesis_Retriver
f1,0.3216952681541443,CrisisFACTS-018,nist,Thesis_Retriver
precision,0.4288981556892395,CrisisFACTS-018,nist,Thesis_Retriver
recall,0.2573665976524353,CrisisFACTS-018,nist,Thesis_Retriver
